#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
91,f8:e9:03:12:ef:3c,ShapeDo-5GHz,60,-75.0,32.104568012100614,35.209679316065845,689.8684136221324,2017-12-03 08:40:58
92,1c:b9:c4:14:36:f8,Ariel_University,6,-78.0,32.10419388505282,35.21122791619917,695.6783175904187,2017-12-03 08:47:12
93,1c:b9:c4:96:f1:57,,52,-82.0,32.103260452095796,35.20974024367279,703.9055825038959,2017-12-03 08:51:21
94,1c:b9:c4:16:cd:1c,Ariel_University,36,-88.0,32.10578181130056,35.21207187967583,690.5323471428377,2017-12-03 08:39:28
95,00:1a:dd:f4:ef:c4,,1,-87.0,32.10614939016676,35.21138726608906,688.8993666020681,2017-12-03 08:39:13
96,1c:b9:c4:95:3a:37,,44,-87.0,32.10204840896786,35.209305441513706,690.6637923310731,2017-12-03 08:41:47
97,00:1a:dd:f4:ef:c5,Afikim_Wifi,1,-81.0,32.106089276564596,35.21106968179408,688.7624378298848,2017-12-03 08:39:10
98,cc:fa:00:ae:93:46,bezek freeee,6,-86.0,32.10263460161589,35.20757686137406,692.0341048029707,2017-12-03 08:37:36
99,c0:4a:00:71:ee:ee,Onicom,9,-81.0,32.103488096295486,35.209807180370774,699.2249391711212,2017-12-03 08:42:17
100,00:27:22:f3:bb:2b,,6,-85.0,32.104025555169244,35.2096016392575,699.519767795736,2017-12-03 08:51:30
101,70:5a:0f:57:42:43,DIRECT-42-HP DeskJet 3830 series,11,-75.0,32.10447804,35.20959776,687.0,2017-12-03 08:45:19
102,1c:b9:c4:16:f1:4c,Ariel_University,36,-84.0,32.10214478667037,35.20908910369364,689.2517761973079,2017-12-03 08:41:44
103,90:6c:ac:a0:7b:55,EVE,52,-73.0,32.10465583147739,35.209799109729424,721.9074685803262,2017-12-03 08:53:47
104,1c:b9:c4:15:3a:2c,Ariel_University,36,-92.0,32.105338150765675,35.21187487697705,692.0554072332519,2017-12-03 08:39:37
105,c0:bd:d1:d5:8c:55,AndroidAP,6,-80.0,32.10312597,35.20921578,696.5,2017-12-03 08:58:43
106,b2:6c:ac:a0:7b:4d,magneto,11,-63.0,32.10469970388029,35.20991437381792,702.1353665897465,2017-12-03 08:45:12
