#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
110,ec:8c:a2:26:d2:c8,Ariel_University,11,-90.0,690.5715158623818,35.20888730350134,32.10463137629941,2017-12-03 08:38:28
111,1c:b9:c4:15:34:b8,Ariel_University,6,-92.0,692.7030958914264,35.21025667401684,32.10493191549645,2017-12-03 08:40:49
112,24:79:2a:ac:5b:d7,,36,-82.0,719.6999289639562,35.20944049214144,32.10444130085198,2017-12-03 08:45:24
113,1c:b9:c4:14:30:08,Ariel_University,1,-81.0,697.5475606772844,35.21068038303641,32.10501114734997,2017-12-03 08:44:55
114,ec:8c:a2:88:7b:87,,40,-76.0,690.2937519226789,35.207895366225024,32.10392178055328,2017-12-03 08:38:28
115,ec:8c:a2:09:0c:cc,Ariel_University,44,-80.0,690.8382411765818,35.2077603995489,32.10321891949164,2017-12-03 08:37:52
116,58:70:c6:fb:68:7a,YICarCam_fb687a,5,-88.0,692.9954485022049,35.20927746779735,32.104362677361316,2017-12-03 08:41:04
117,1c:b9:c4:15:fd:e8,IT-MNG,11,-82.0,691.3431389455745,35.21169309934411,32.10534576509134,2017-12-03 08:44:52
118,34:8f:27:20:89:b8,Ariel_University,6,-78.0,691.4550620666852,35.20916332284545,32.10404173917296,2017-12-03 08:41:01
119,1c:b9:c4:16:ee:98,Ariel_University,6,-73.0,693.9243746625878,35.21021632809159,32.103227494798446,2017-12-03 08:51:08
120,1c:b9:c4:15:ed:b8,IT-MNG,1,-82.0,700.4082398392861,35.20975078092387,32.10336183777687,2017-12-03 08:42:14
121,00:1a:dd:f4:ef:04,PEPWAVE_9481,1,-76.0,688.6825017110157,35.21055153552892,32.105962572338896,2017-12-03 08:39:13
122,1c:b9:c4:15:fd:ec,Ariel_University,40,-76.0,691.9964341016355,35.2118598855837,32.10533711925973,2017-12-03 08:39:34
123,1c:b9:c4:12:7c:c8,Ariel_University,11,-65.0,698.132153165206,35.20874755297561,32.10318312153525,2017-12-03 08:45:45
124,1c:b9:c4:95:fd:47,,36,-87.0,705.7432982997963,35.20938172918558,32.1037295356692,2017-12-03 08:54:05
125,1c:b9:c4:15:36:9c,Ariel_University,36,-82.0,703.6200349313401,35.2112199723324,32.105191757257465,2017-12-03 08:39:34
126,b2:6c:ac:a0:7b:55,magneto,52,-73.0,708.5120395177382,35.209813646365646,32.10467817424046,2017-12-03 08:40:55
127,a2:6c:ac:a0:18:29,artsim,6,-75.0,689.7993843417348,35.20929375541751,32.103666322911735,2017-12-03 08:45:22
128,1c:b9:c4:14:2b:88,Ariel_University,11,-72.0,698.4074362218546,35.209957705617036,32.10334261204882,2017-12-03 08:51:45
129,1c:b9:c4:12:90:b8,Ariel_University,11,-74.0,701.938763283568,35.20879731562317,32.10297746909525,2017-12-03 08:41:28
130,fc:3f:db:9c:36:3d,DIRECT-5C-HP DeskJet 3630 series,6,-79.0,700.4320999806323,35.20947285980674,32.10206173176159,2017-12-03 08:46:13
131,1c:b9:c4:14:62:4c,Ariel_University,36,-74.0,692.8918490649098,35.209608501213296,32.10457102888188,2017-12-03 08:40:58
132,1c:b9:c4:16:cd:68,Ariel_University,11,-86.0,689.9496964638441,35.20788087493433,32.1044140461797,2017-12-03 08:38:22
133,b0:48:7a:a1:80:8c,Knoch,4,-86.0,698.9056862429085,35.20734901460898,32.10251814263996,2017-12-03 08:37:15
134,a0:ab:1b:60:b4:ca,036518749,8,-79.0,691.9385187686761,35.20917581062308,32.10231850821487,2017-12-03 08:41:37
135,1c:b9:c4:95:44:87,,36,-86.0,699.6870730661486,35.21122999135554,32.104750634791365,2017-12-03 08:40:40
136,1c:b9:c4:15:3d:58,Ariel_University,11,-69.0,696.2765809150901,35.20952677344789,32.10203000020258,2017-12-03 08:46:15
137,1c:b9:c4:14:30:0c,Ariel_University,36,-85.0,692.6868607099875,35.21071549460977,32.10506214894986,2017-12-03 08:40:43
138,1c:b9:c4:95:1e:67,,36,-89.0,712.9572535195944,35.21002970756891,32.10263051540787,2017-12-03 08:46:31
139,10:be:f5:39:8f:f2,LARISA,3,-86.0,698.9056862429085,35.20734901460898,32.10251814263996,2017-12-03 08:37:15
140,1c:b9:c4:12:90:bc,Ariel_University,40,-77.0,694.5728240517268,35.208912290312036,32.10318778812615,2017-12-03 08:41:25
141,ec:8c:a2:08:79:a8,Ariel_University,6,-74.0,693.515546031181,35.21075809840327,32.104697508718836,2017-12-03 08:40:34
142,e8:94:f6:d5:98:86,TP-LINK_D59886,9,-94.0,692.0,35.21001902,32.10225656,2017-12-03 08:46:27
143,ec:8c:a2:88:78:37,,40,-90.0,690.7687922307229,35.20778662747971,32.103323385092075,2017-12-03 08:37:58
144,1c:b9:c4:16:11:a8,Ariel_University,1,-76.0,695.5259023499532,35.20909431780463,32.102449821655654,2017-12-03 08:46:21
145,1c:b9:c4:96:1d:77,,44,-85.0,710.364346402885,35.20885655710274,32.10377001820289,2017-12-03 08:50:20
146,1c:b9:c4:15:36:98,Ariel_University,1,-81.0,700.3504652541378,35.21116457683499,32.105151145554075,2017-12-03 08:40:43
147,1c:b9:c4:14:2b:8c,Ariel_University,44,-90.0,713.0579802632583,35.209780212663475,32.103388164157224,2017-12-03 08:46:43
148,14:ae:db:3a:64:05,tanya,1,-86.0,700.1622738859833,35.20734570155965,32.102528187003614,2017-12-03 08:37:13
149,ec:8c:a2:08:78:cc,Ariel_University,48,-74.0,709.3871693037955,35.20905902154404,32.10325834369087,2017-12-03 08:58:28
150,1c:b9:c4:15:3d:5c,Ariel_University,36,-82.0,690.6407658565206,35.209569911503216,32.101993215281134,2017-12-03 08:41:50
151,00:1a:dd:f5:06:a4,,13,-83.0,688.6045855255679,35.21038076777716,32.10593532045871,2017-12-03 08:39:04
152,24:79:2a:2b:bd:8c,Ariel_University,44,-83.0,703.0223738791422,35.21009379786531,32.10379299376427,2017-12-03 08:42:20
153,00:1a:dd:f5:06:a5,Afikim_Wifi,13,-84.0,688.6045855255679,35.21038076777716,32.10593532045871,2017-12-03 08:39:04
154,00:1a:dd:f5:e9:25,Afikim-73925,1,-58.0,688.6715462468687,35.21055454606218,32.10595770553916,2017-12-03 08:38:58
155,00:1a:dd:f5:e9:24,PEPWAVE_C99D,1,-59.0,689.4884991272369,35.210257453794235,32.105460466409745,2017-12-03 08:41:22
156,a4:08:f5:20:72:6a,HOTFiber-3C40,1,-87.0,691.1036071541976,35.2076291986019,32.102861507686676,2017-12-03 08:37:42
157,00:0e:f4:c1:50:14,vladimir,11,-92.0,692.0341048029708,35.20757686137406,32.10263460161589,2017-12-03 08:37:36
158,1c:b9:c4:16:f1:98,Ariel_University,11,-72.0,691.18037356769,35.20920039247068,32.102269816920725,2017-12-03 08:41:44
159,74:ea:3a:ad:d1:50,TP-LINK_ADD150,4,-71.0,690.0337546152826,35.20937447710911,32.10372518044137,2017-12-03 08:58:13
160,1c:b9:c4:15:3d:68,Ariel_University,6,-78.0,694.8208554784578,35.21007391297352,32.1030700134922,2017-12-03 08:46:18
161,1c:b9:c4:12:7c:cc,Ariel_University,36,-81.0,691.9923582374439,35.208813904216676,32.10302115000105,2017-12-03 08:41:22
162,1c:b9:c4:14:30:38,Ariel_University,1,-65.0,700.3733126929335,35.209705390026635,32.102905450600446,2017-12-03 08:42:05
163,a0:4f:d4:3b:e9:01,Lidor a,6,-84.0,700.1622738859833,35.20734570155965,32.102528187003614,2017-12-03 08:37:13
164,ec:8c:a2:09:0c:c8,Ariel_University,1,-86.0,690.6874448611455,35.20780552775216,32.10342051137385,2017-12-03 08:38:04
165,ec:8c:a2:08:90:cc,Ariel_University,36,-87.0,690.6874448611455,35.20780552775216,32.10342051137385,2017-12-03 08:38:04
166,ec:8c:a2:08:79:ac,Ariel_University,36,-83.0,693.8682117313015,35.21130154968856,32.10491909900176,2017-12-03 08:40:34
167,1c:b9:c4:14:33:cc,Ariel_University,48,-78.0,695.9738184307372,35.20903077748837,32.10251676329972,2017-12-03 08:54:29
168,8c:0c:90:6e:16:88,,11,-78.0,699.9826910121632,35.20920588814832,32.1036939482973,2017-12-03 08:46:53
169,ec:8c:a2:89:8c:37,,44,-86.0,690.4758805974767,35.2078263595938,32.10371440835981,2017-12-03 08:38:13
170,00:02:6f:8e:64:67,,1,-87.0,708.5804377769539,35.20923973447798,32.10344907131182,2017-12-03 09:01:13
171,24:79:2a:2c:5b:d8,Ariel_University,1,-79.0,699.9473732605244,35.20991896601914,32.1042182359059,2017-12-03 09:06:21
172,30:b5:c2:b8:40:36,,13,-91.0,717.6172124232385,35.210446896260514,32.10494482726751,2017-12-03 08:49:48
173,ec:8c:a2:26:b0:e8,Ariel_University,6,-81.0,690.7682301188013,35.20889445455368,32.10369240242855,2017-12-03 08:41:10
174,90:6c:ac:9f:f1:c5,CliClap,2,-86.0,718.4184377798202,35.20944039333655,32.10432787109738,2017-12-03 08:45:36
175,00:1a:dd:e3:06:e4,afikim-wifi,1,-53.0,699.8860444903257,35.2073198916877,32.102529803081474,2017-12-03 08:37:10
176,1c:b9:c4:15:43:ec,Ariel_University,36,-86.0,706.4003318459148,35.20922609710819,32.102298630301554,2017-12-03 08:46:19
177,1c:b9:c4:95:ed:47,,44,-87.0,691.7266026300563,35.21135241304572,32.104906121909195,2017-12-03 08:40:34
178,1c:b9:c4:16:f4:2c,Ariel_University,44,-87.0,708.1826128098342,35.209176986367694,32.102562870331376,2017-12-03 08:54:24
179,1c:b9:c4:16:f4:28,Ariel_University,11,-75.0,690.1382610146412,35.208996006489265,32.10228287268216,2017-12-03 08:46:03
180,90:6c:ac:9f:fb:27,Guest,36,-89.0,690.7435731036957,35.20928224839672,32.10489300606392,2017-12-03 08:38:52
181,ec:8c:a2:08:90:c8,Ariel_University,11,-78.0,690.5542770521721,35.20781952974852,32.1036008123458,2017-12-03 08:38:07
182,1c:b9:c4:16:11:ac,Ariel_University,44,-83.0,701.130219722951,35.20898125337866,32.10256673327454,2017-12-03 08:46:00
183,1c:b9:c4:96:28:e7,,36,-72.0,691.4510767002092,35.20877681328383,32.10368839370954,2017-12-03 08:41:13
184,24:79:2a:2c:61:6c,Ariel_University,36,-92.0,704.7212452331758,35.210824460173626,32.10413712623305,2017-12-03 08:51:42
185,00:1a:dd:f4:f5:c4,,13,-87.0,689.1270089723326,35.21001027976571,32.10551673903663,2017-12-03 08:39:13
186,00:1a:dd:f4:f5:c5,Afikim_Wifi,13,-85.0,689.2440822092435,35.20907111905004,32.1051395482204,2017-12-03 08:39:13
187,1c:b9:c4:14:2c:18,Ariel_University,1,-75.0,697.9423213346126,35.209144564397185,32.10240105789399,2017-12-03 08:41:37
188,ec:8c:a2:08:78:c8,Ariel_University,6,-75.0,694.0592079576196,35.20937632269227,32.102715605147154,2017-12-03 08:45:39
189,90:6c:ac:9f:fb:1f,Guest,1,-69.0,687.6489058549282,35.21001031848172,32.10492213590552,2017-12-03 08:39:04
190,cc:b2:55:e7:7e:ba,Bezeq-NGN_E77EB9,6,-87.0,689.1981253462078,35.21168763894033,32.106181954122206,2017-12-03 08:39:16
191,40:a5:ef:7a:17:f2,2.4V1,1,-72.0,697.3346164887117,35.20991862682752,32.102485987382394,2017-12-03 08:54:50
192,1c:b9:c4:16:04:78,Ariel_University,11,-72.0,693.1958479137515,35.20942351691891,32.10229756934505,2017-12-03 08:58:43
193,9c:d2:1e:04:e6:2c,HP-Print-2c-LaserJet 400 color,6,-91.0,687.0,35.21000489,32.10473133,2017-12-03 08:49:58
194,ec:8c:a2:09:03:38,Ariel_University,1,-71.0,693.2074095942437,35.20758104767403,32.10281447386213,2017-12-03 08:37:18
195,30:e1:71:0f:a2:72,DIRECT-71-HP DeskJet 3630 series,6,-76.0,690.9557848714416,35.20972856511783,32.10201314920573,2017-12-03 08:41:53
196,ec:8c:a2:08:94:1c,Ariel_University,44,-63.0,707.3879720917654,35.20877923503941,32.103332018304705,2017-12-03 08:45:45
197,34:8f:27:20:89:bc,Ariel_University,44,-87.0,692.9030486088649,35.20942986183025,32.104466966368285,2017-12-03 08:41:01
198,1c:b9:c4:96:ed:37,,44,-77.0,698.1641498759643,35.20968831872878,32.10294447969606,2017-12-03 08:42:05
199,1c:b9:c4:16:05:3c,Ariel_University,36,-78.0,695.5120296503743,35.209437597427666,32.104617359952364,2017-12-03 08:54:11
200,1c:b9:c4:16:e8:f8,Ariel_University,11,-68.0,694.0937616126002,35.21124372645737,32.104202860406716,2017-12-03 08:51:48
201,14:ae:db:cf:86:f5,Biren2809,11,-91.0,691.7941043072863,35.20814477182254,32.103147609584674,2017-12-03 08:41:22
202,a0:4f:d4:3a:a0:e1,Cellcom-WiFi_0123,11,-89.0,700.1622738859833,35.20734570155965,32.102528187003614,2017-12-03 08:37:13
203,00:27:22:f3:e2:f3,,6,-81.0,688.6737904292652,35.21055874734606,32.105924522405914,2017-12-03 08:39:07
204,1c:b9:c4:15:ed:bc,IT-MNG,48,-85.0,702.0,35.20978696,32.1034255,2017-12-03 09:07:13
